Nome da Empresa	Valor total adquirido	Valor Empenhado
A.M.S. RIOS FABRICACAO E COMERCIO DE BOLSAS LTDA.	R$38.400,00	R$36.000,00
A.M.S. RIOS FABRICACAO E COMERCIO DE BOLSAS LTDA.	R$38.400,00	R$2.400,00
A.M.S. RIOS FABRICACAO E COMERCIO DE BOLSAS LTDA.	R$38.400,00	R$ -
BBC COMERCIAL DISTRIBUIDORA E SERVICOS LTDA	R$65.960,00	R$65.960,00
BBC COMERCIAL DISTRIBUIDORA E SERVICOS LTDA	R$65.960,00	R$ -
MASTERSUL EQUIPAMENTOS DE SEGURANCA LTDA.	R$24.000,00	R$24.000,00
MASTERSUL EQUIPAMENTOS DE SEGURANCA LTDA.	R$24.000,00	R$ -
MALTA INDUSTRIA E COMERCIO DE PRODUTOS LTDA.	R$20.950,00	R$13.000,00
MALTA INDUSTRIA E COMERCIO DE PRODUTOS LTDA.	R$20.950,00	R$7.950,00
TC DISTRIBUIDORA LTDA.	R$0,00	R$ -
SANTA ORANNA INDUSTRIA E COMERCIO LTDA.	R$2.277,00	R$2.277,00
SANTA ORANNA INDUSTRIA E COMERCIO LTDA.	R$2.277,00	R$ -
MOUNT CONFECCAO LTDA.	R$34.100,00	R$12.000,00
MOUNT CONFECCAO LTDA.	R$34.100,00	R$9.600,00
MOUNT CONFECCAO LTDA.	R$34.100,00	R$1.896,00
MOUNT CONFECCAO LTDA.	R$34.100,00	R$12.600,00
MOUNT CONFECCAO LTDA.	R$34.100,00	R$24.500,00
MC LINS SERVICOS, DISTRIBUICAO E COMERCIO LTDA.	R$0,00	R$12.012,00
MC LINS SERVICOS, DISTRIBUICAO E COMERCIO LTDA.	R$0,00	R$4.004,00
MC LINS SERVICOS, DISTRIBUICAO E COMERCIO LTDA.	R$0,00	R$26.572,00
MARIA DO SOCORRO SANTOS BASILIO	R$7.040,00	R$7.040,00
MARIA DO SOCORRO SANTOS BASILIO	R$7.040,00	R$ -
IMPERIAL CAFE COMERCIO EXPORTACAO E IMPORTACAO LTDA.	R$16.250,00	R$16.250,00
IMPERIAL CAFE COMERCIO E EXPORTACAO E IMPORTACAO LTDA.	R$16.250,00	R$ -
INDUSTRIA E COMERCIO DE PRODUTOS DE LIMPEZA CAMPINENSE LTDA.	R$5.259,75	R$4.788,00
INDUSTRIA E COMERCIO DE PRODUTOS DE LIMPEZA CAMPINENSE LTDA.	R$5.259,75	R$471,75
SANIGRAN LTDA.	R$2.004,00	R$ -
SANIGRAN LTDA.	R$2.004,00	R$224,00
SANIGRAN LTDA.	R$2.004,00	R$1.780,00
FORLIMP COMERCIO E DISTRIBUICAO DE PRODUTOS DE PERFUMARIA E LIMPEZA LTDA.	R$74.699,14	R$66.546,74
FORLIMP COMERCIO E DISTRIBUICAO DE PRODUTOS DE PERFUMARIA E LIMPEZA LTDA.	R$74.699,14	R$2.400,00
FORLIMP COMERCIO E DISTRIBUICAO DE PRODUTOS DE PERFUMARIA E LIMPEZA LTDA.	R$74.699,14	R$3.024,00
FORLIMP COMERCIO E DISTRIBUICAO DE PRODUTOS DE PERFUMARIA E LIMPEZA LTDA.	R$74.699,14	R$4.557,00
FORLIMP COMERCIO E DISTRIBUICAO DE PRODUTOS DE PERFUMARIA E LIMPEZA LTDA.	R$74.699,14	R$178,40
FORLIMP COMERCIO E DISTRIBUICAO DE PRODUTOS DE PERFUMARIA E LIMPEZA LTDA.	R$74.699,14	R$393,00
FORLIMP COMERCIO E DISTRIBUICAO DE PRODUTOS DE PERFUMARIA E LIMPEZA LTDA.	R$74.699,14	R$ -
