Num. IRP	Objeto	Setor Demandante	Fiscal	Setor do fiscal	Num. Proc. Principal	Num. Proc. Acessório	CNPJ	Nome da Empresa	Estado	Valor total ARP	Valor total adquirido	Num. Item	Descrição	Qtd. ARP	Valor unitário	Qtd. Empenhada	Valor Empenhado	Num. Nota Emp.	Num. Nota Fiscal	Qtd. Adquirida	Qtd. Restante	Saldo dos Produtos
00/2023	Aquisição Gás GLP	CCHSA - DIRECAO DE CENTRO	José Acelino de Oliveira	CCHSA - ALMORAXIFADO	23074.072832/2022-81	23074.080898/2022-64	40.979.684/0001-30	ANDRÉ FELIPE	PB	R$16.800,00	R$16.800,00	9	Gás GLP 13 kg	140	R$120,00	140	R$ 16.800,00	2023NE000095	13.608	24	0	R$ -
00/2023	Aquisição Gás GLP	CCHSA - DIRECAO DE CENTRO	José Acelino de Oliveira	CCHSA - ALMORAXIFADO	23074.072832/2022-81	23074.080898/2022-64	40.979.684/0001-30	ANDRÉ FELIPE	PB	R$16.800,00	R$16.800,00	9	Gás GLP 13 kg	140	R$120,00	140	R$ 16.800,00	2023NE000095	14.262	30	0	R$ -
00/2023	Aquisição Gás GLP	CCHSA - DIRECAO DE CENTRO	José Acelino de Oliveira	CCHSA - ALMORAXIFADO	23074.072832/2022-81	23074.080898/2022-64	40.979.684/0001-30	ANDRÉ FELIPE	PB	R$16.800,00	R$16.800,00	9	Gás GLP 13 kg	140	R$120,00	140	R$ 16.800,00	2023NE000095	14.826	30	0	R$ -
00/2023	Aquisição Gás GLP	CCHSA - DIRECAO DE CENTRO	José Acelino de Oliveira	CCHSA - ALMORAXIFADO	23074.072832/2022-81	23074.080898/2022-64	40.979.684/0001-30	ANDRÉ FELIPE	PB	R$16.800,00	R$16.800,00	9	Gás GLP 13 kg	140	R$120,00	140	R$ 16.800,00	2023NE000095	15.207	30	0	R$ -
00/2023	Aquisição Gás GLP	CCHSA - DIRECAO DE CENTRO	José Acelino de Oliveira	CCHSA - ALMORAXIFADO	23074.072832/2022-81	23074.080898/2022-64	40.979.684/0001-30	ANDRÉ FELIPE	PB	R$16.800,00	R$16.800,00	9	Gás GLP 13 kg	140	R$120,00	140	R$ 16.800,00	2023NE000095	15.509	26	0	R$ -
00/2023	Aquisição Gás GLP	CCHSA - DIRECAO DE CENTRO	José Acelino de Oliveira	CCHSA - ALMORAXIFADO	23074.072832/2022-81	23074.080898/2022-64	09.266.128/0001-76	SOS GÁS LTDA - EPP	PB	R$176.664,00	R$11.258,00	5	Gás GLP, 45 kg	208	R$433,00	0	R$ -	N/A	N/A	0	0	R$ -
00/2023	Aquisição Gás GLP	CCHSA - DIRECAO DE CENTRO	José Acelino de Oliveira	CCHSA - ALMORAXIFADO	23074.072832/2022-81	23074.080898/2022-64	09.266.128/0001-76	SOS GÁS LTDA - EPP	PB	R$176.664,00	R$11.258,00	8	Gás GLP, 45 kg	200	R$433,00	60	R$ 25.980,00	2023NE000121	40.922	26	34	R$ 14.722,00
01/2023	Aquisição Material Informática	CCHSA - LAB. INFORMATICA	Daniel Mendes Cavalcante		23074.090638/2023-48	13.218.025/0001-08	OLIVEIRA & ALMEIDA INFORMÁTICA	PR	R$15.102,00	R$2.852,00	53	Terminadores RJ-45 femea	1600	R$7,40	300	R$ 2.220,00	2023NE000133	2.200	300	0	R$ -
01/2023	Aquisição Material Informática	CCHSA - LAB. INFORMATICA	Daniel Mendes Cavalcante	CCHSA-LAB. INFORMATICA		23074.090638/2023-48	13.218.025/0001-08	OLIVEIRA & ALMEIDA INFORMÁTICA	PR	R$15.102,00	R$2.852,00	54	Terminadores RJ-45 macho	3556	R$0,50	556	R$ 278,00	2023NE000133	2.200	556	0	R$ -
01/2023	Aquisição Material Informática	CCHSA - LAB. INFORMATICA	Daniel Mendes Cavalcante	CCHSA-LAB. INFORMATICA		23074.092141/2023-13	16.778.654/0001-80	REI TECH EIRELI	DF	R$75.548,00	R$32.219,00	31	Monitor 23 polegadas	68	R$1.111,00	29	R$ 32.219,00	2023NE000132	1632	29	0	R$ -
01/2023	Aquisição Material Informática	CCHSA - LAB. INFORMATICA	Daniel Mendes Cavalcante	CCHSA-LAB. INFORMATICA		23074.092244/2023-45	21.793.208/0001-85	DF MÁQUINAS E FERRAMENTAS LTDA	DF	R$3.237,60	R$809,40	25	Kit localizador	16	R$202,35	4	R$ 809,40	2023NE000151	4.204	4	0	R$ -
01/2023	Aquisição Material Informática	CCHSA - LAB. INFORMATICA	Daniel Mendes Cavalcante	CCHSA-LAB. INFORMATICA		23074.092281/2023-16	24.608.949/0001-37	J&A SOLUÇÕES E-COMMERCE LTDA	BA	R$4.537,50	R$2.887,50	8	Cabo de rede patch	275	R$16,50	175	R$ 2.887,50	2023NE000131	479.875	175	0	R$ -
01/2023	Aquisição Material Informática	CCHSA - LAB. INFORMATICA	Daniel Mendes Cavalcante	CCHSA-LAB. INFORMATICA		23074.092468/2023-11	27.130.609/0001-31	JEAN ALEXANDRE WENDLER DE MORAIS	Não informado	R$2.466,00	R$548,00	6	Cabo Dac	18	R$137,00	4	R$ 548,00	2023NE000130	1.710	4	0	R$ -
01/2023	Aquisição Material Informática	CCHSA - LAB. INFORMATICA	Daniel Mendes Cavalcante	CCHSA-LAB. INFORMATICA		23074.093551/2023-64	30.996.156/0001-35	SERGIO DOMINGUES & CIA LTDA	PR	R$403.481,60	R$189.132,00	21	Impressora	32	R$6.304,40	30	R$ 189.132,00	2023NE000129	388	16	0	R$ -
01/2023	Aquisição Material Informática	CCHSA - LAB. INFORMATICA	Daniel Mendes Cavalcante	CCHSA-LAB. INFORMATICA		23074.093551/2023-64	30.996.156/0001-35	SERGIO DOMINGUES & CIA LTDA	PR	R$403.481,60	R$189.132,00	21	Impressora	32	R$6.304,40	30	R$ 189.132,00	2023NE000129	391	14	0	R$ -
01/2023	Aquisição Material Informática	CCHSA - LAB. INFORMATICA	Daniel Mendes Cavalcante	CCHSA-LAB. INFORMATICA		23074.093578/2023-14	37.490.381/0001-44	A.M. TELECOM E SUPRIMENTOS DE INFORMÁTICA LTDA	SP	R$47.540,00	R$14.320,00	35	Organizador de cabos	28	R$105,00	0	R$ -	N/A	N/A	0	0	R$ -
01/2023	Aquisição Material Informática	CCHSA - LAB. INFORMATICA	Daniel Mendes Cavalcante	CCHSA-LAB. INFORMATICA		23074.093578/2023-14	37.490.381/0001-44	A.M. TELECOM E SUPRIMENTOS DE INFORMÁTICA LTDA	SP	R$47.540,00	R$14.320,00	37	Rack de rede	15	R$1.960,00	2	R$ 3.920,00	2023NE000128	375	2	0	R$ -
01/2023	Aquisição Material Informática	CCHSA - LAB. INFORMATICA	Daniel Mendes Cavalcante	CCHSA-LAB. INFORMATICA		23074.093578/2023-14	37.490.381/0001-44	A.M. TELECOM E SUPRIMENTOS DE INFORMÁTICA LTDA	SP	R$47.540,00	R$14.320,00	38	Rack fixação 12U	20	R$440,00	10	R$ 4.400,00	2023NE000128	375	10	0	R$ -
01/2023	Aquisição Material Informática	CCHSA - LAB. INFORMATICA	Daniel Mendes Cavalcante	CCHSA-LAB. INFORMATICA		23074.093578/2023-14	37.490.381/0001-44	A.M. TELECOM E SUPRIMENTOS DE INFORMÁTICA LTDA	SP	R$47.540,00	R$14.320,00	39	Rack fixação 8U	16	R$400,00	15	R$ 6.000,00	2023NE000128	375	15	0	R$ -
01/2023	Aquisição Material Informática	CCHSA - LAB. INFORMATICA	Daniel Mendes Cavalcante	CCHSA-LAB. INFORMATICA			40.224.243/0001-28	BACKUP MANUTENÇÃO E DISTRIBUIÇÃO DE PRODUTOS DE INFORMÁTICA LTDA	MG	R$900,00	R$0,00	9	Cabo de rede	30	R$30,00	10	R$ 300,00	2023NE000127	N/A	0	10	R$ 300,00
01/2023	Aquisição Material Informática	CCHSA - LAB. INFORMATICA	Daniel Mendes Cavalcante	CCHSA-LAB. INFORMATICA		23074.093614/2023-12	40.708.647/0001-97	DLB COMÉRCIO DE PRODUTOS DE INFORMÁTICA LTDA	RO	R$31.909,53	R$14.138,70	13	Cabo UTP 305 m	27	R$699,99	10	R$ 6.999,90	2023NE000126	1.350	10	0	R$ -
01/2023	Aquisição Material Informática	CCHSA - LAB. INFORMATICA	Daniel Mendes Cavalcante	CCHSA-LAB. INFORMATICA		23074.093614/2023-12	40.708.647/0001-97	DLB COMÉRCIO DE PRODUTOS DE INFORMÁTICA LTDA	RO	R$31.909,53	R$14.138,70	28	Memória desktop 8 Gb	56	R$158,97	30	R$ 4.769,10	2023NE000126	1.350	30	0	R$ -
01/2023	Aquisição Material Informática	CCHSA - LAB. INFORMATICA	Daniel Mendes Cavalcante	CCHSA-LAB. INFORMATICA		23074.093614/2023-12	40.708.647/0001-97	DLB COMÉRCIO DE PRODUTOS DE INFORMÁTICA LTDA	RO	R$31.909,53	R$14.138,70	29	Memória notebook 8 Gb	26	R$157,98	15	R$ 2.369,70	2023NE000126	1.350	15	0	R$ -
01/2023	Aquisição Material Informática	CCHSA - LAB. INFORMATICA	Daniel Mendes Cavalcante	CCHSA-LAB. INFORMATICA		23074.093675/2023-14	43.727.845/0001-96	AR6 LICITAÇÕES LTDA		R$92.985,39	R$23.241,40	1	Access Point	84	R$664,04	35	R$ 23.241,40	2023NE000110	797	35	0	R$ -
01/2023	Aquisição Material Informática	CCHSA - LAB. INFORMATICA	Daniel Mendes Cavalcante	CCHSA-LAB. INFORMATICA		23074.093675/2023-14	43.727.845/0001-96	AR6 LICITAÇÕES LTDA		R$92.985,39	R$23.241,40	49	Switch POE	17	R$2.188,59	0	R$ -	N/A	N/A	0	0	R$ -
01/2023	Aquisição Material Informática	CCHSA - LAB. INFORMATICA	Daniel Mendes Cavalcante	CCHSA-LAB. INFORMATICA		23074.093693/2023-13	47.326.646/0001-27	ADRIANO HALAMA	PR	R$5.145,00	R$670,00	15	Cartão de memória 32 Gb	35	R$67,00	10	R$ 670,00	2023NE000125	163	10	0	R$ -
01/2023	Aquisição Material Informática	CCHSA - LAB. INFORMATICA	Daniel Mendes Cavalcante	CCHSA-LAB. INFORMATICA		23074.093693/2023-13	47.326.646/0001-27	ADRIANO HALAMA	PR	R$5.145,00	R$670,00	52	Terminadores macho	4000	R$0,70	0	R$ -	N/A	N/A	0	0	R$ -
01/2023	Aquisição Material Informática	CCHSA - LAB. INFORMATICA	Daniel Mendes Cavalcante	CCHSA-LAB. INFORMATICA		23074.093712/2023-82	97.328.306/0001-03	NOVA ERA TECNOLOGIA LTDA	GO	R$166.260,00	R$14.460,00	32	Notebook tipo I	22	R$4.490,00	0	R$ -	N/A	N/A	0	0	R$ -
01/2023	Aquisição Material Informática	CCHSA - LAB. INFORMATICA	Daniel Mendes Cavalcante	CCHSA-LAB. INFORMATICA		23074.093712/2023-82	97.328.306/0001-03	NOVA ERA TECNOLOGIA LTDA	GO	R$166.260,00	R$14.460,00	33	Notebook tipo II	14	R$4.820,00	3	R$ 14.460,00	2023NE000123	653	3	0	R$ -
02/2023	Agenciamento de viagens	CCHSA - DIRECAO DE CENTRO	Felipe Roque Vicente	CAVN - DIRECAO DO COLEGIO	23074.017361/2023-18	23074.017361/2023-18	27.829.511/0001-77	BILACORP Viagens e Turismo LTDA	SP	R$166.443,99	R$181.715,84	2	Repasse	90	R$1.849,37	158,43	R$ 292.998,45	2024NE000023	Varias	98,26	60,17	R$ 80.882,24
03/2023	Aquisição Produtos Piscina	CCHSA - DIRECAO DE CENTRO	Felipe Roque Vicente	CAVN- DIRECAO DO COLEGIO	23074.040522/20223-30	23074.100843/2023-90	15.153.524/0001-90	SANIGRAN LTDA.	PR	R$13.470,96	R$13.470,96	10	Ácido tricloroisocianúrico	288	R$6,50	288	R$ 1.872,00	2023NE000107	18.627	288	0	R$ -
03/2023	Aquisição Produtos Piscina	CCHSA - DIRECAO DE CENTRO	Felipe Roque Vicente	CAVN- DIRECAO DO COLEGIO	23074.040522/20223-30	23074.100843/2023-90	15.153.524/0001-90	SANIGRAN LTDA.	PR	R$13.470,96	R$13.470,96	13	Carbonato de sódio	96	R$11,76	96	R$ 1.128,96	2023NE000107	18.627	96	0	R$ -
03/2023	Aquisição Produtos Piscina	CCHSA - DIRECAO DE CENTRO	Felipe Roque Vicente	CAVN- DIRECAO DO COLEGIO	23074.040522/20223-30	23074.100843/2023-90	15.153.524/0001-90	SANIGRAN LTDA.	PR	R$13.470,96	R$13.470,96	15	Decantador	180	R$10,70	180	R$ 1.926,00	2023NE000107	18.627	180	0	R$ -
03/2023	Aquisição Produtos Piscina	CCHSA - DIRECAO DE CENTRO	Felipe Roque Vicente	CAVN- DIRECAO DO COLEGIO	23074.040522/20223-30	23074.100843/2023-90	15.153.524/0001-90	SANIGRAN LTDA.	PR	R$13.470,96	R$13.470,96	18	Hipoclorito de cálcio	480	R$17,80	480	R$ 8.544,00	2023NE000107	18.627	480	0	R$ -
03/2023	Aquisição Produtos Piscina	CCHSA - DIRECAO DE CENTRO	Felipe Roque Vicente	CAVN- DIRECAO DO COLEGIO	23074.040522/20223-30	23074.100849/2023-25	18.202.203/0001-26	SUARES DISTRIBUIDORA DE PRODUTOS DE LIMPEZA LTDA.	SP	R$4.822,56	R$4.822,56	11	Algicida 1%	96	R$11,35	96	R$ 1.089,60	2023NE000106	1.825	96	0	R$ -
03/2023	Aquisição Produtos Piscina	CCHSA - DIRECAO DE CENTRO	Felipe Roque Vicente	CAVN- DIRECAO DO COLEGIO	23074.040522/20223-30	23074.100849/2023-25	18.202.203/0001-26	SUARES DISTRIBUIDORA DE PRODUTOS DE LIMPEZA LTDA.	SP	R$4.822,56	R$4.822,56	12	Algicida 2,5%	96	R$9,96	96	R$ 956,16	2023NE000106	1.825	96	0	R$ -
03/2023	Aquisição Produtos Piscina	CCHSA - DIRECAO DE CENTRO	Felipe Roque Vicente	CAVN- DIRECAO DO COLEGIO	23074.040522/20223-30	23074.100849/2023-25	18.202.203/0001-26	SUARES DISTRIBUIDORA DE PRODUTOS DE LIMPEZA LTDA.	SP	R$4.822,56	R$4.822,56	14	Clarificante 31%.	120	R$8,90	120	R$ 1.068,00	2023NE000106	1.825	120	0	R$ -
03/2023	Aquisição Produtos Piscina	CCHSA - DIRECAO DE CENTRO	Felipe Roque Vicente	CAVN- DIRECAO DO COLEGIO	23074.040522/20223-30	23074.100849/2023-25	18.202.203/0001-26	SUARES DISTRIBUIDORA DE PRODUTOS DE LIMPEZA LTDA.	SP	R$4.822,56	R$4.822,56	16	Decantador 25%	96	R$8,90	96	R$ 854,40	2023NE000106	1.825	96	0	R$ -
03/2023	Aquisição Produtos Piscina	CCHSA - DIRECAO DE CENTRO	Felipe Roque Vicente	CAVN- DIRECAO DO COLEGIO	23074.040522/20223-30	23074.100849/2023-25	18.202.203/0001-26	SUARES DISTRIBUIDORA DE PRODUTOS DE LIMPEZA LTDA.	SP	R$4.822,56	R$4.822,56	17	Decantador 31%	96	R$8,90	96	R$ 854,40	2023NE000106	1.825	96	0	R$ -
04/2023	Aquisição Materiais Eventos	CAVN - DIRECAO DO COLEGIO	Felipe Roque Vicente	CAVN-DIRECAO DO COLEGIO	23074.064950/2023-74	23074.114848/2023-61	04.743.532/0001-70	MÁRCIO SANDRO MALLET PEZARIM	SP	R$5.900,00	R$0,00	27	Pin UFPB	1000	R$5,90	0	R$ -	N/A	N/A	0	0	R$ -
04/2023	Aquisição Materiais Eventos	CAVN - DIRECAO DO COLEGIO	Felipe Roque Vicente	CAVN-DIRECAO DO COLEGIO	23074.064950/2023-74	23074.114853/2023-23	07.220.883/0001-94	HOT DIGITAL COMÉRCIO E SERVIÇO DE IMPRESSÃO LTDA.	PB	R$6.498,10	R$2.399,20	19	Adesivo de parede	40	R$49,99	0	R$ -	N/A	N/A	0	0	R$ -
04/2023	Aquisição Materiais Eventos	CAVN - DIRECAO DO COLEGIO	Felipe Roque Vicente	CAVN-DIRECAO DO COLEGIO	23074.064950/2023-74	23074.114853/2023-23	07.220.883/0001-94	HOT DIGITAL COMÉRCIO E SERVIÇO DE IMPRESSÃO LTDA.	PB	R$6.498,10	R$2.399,20	22	Banner 40 g/m2	50	R$29,99	40	R$ 1.199,60	2023NE000149	4332	40	0	R$ -
04/2023	Aquisição Materiais Eventos	CAVN - DIRECAO DO COLEGIO	Felipe Roque Vicente	CAVN-DIRECAO DO COLEGIO	23074.064950/2023-74	23074.114853/2023-23	07.220.883/0001-94	HOT DIGITAL COMÉRCIO E SERVIÇO DE IMPRESSÃO LTDA.	PB	R$6.498,10	R$2.399,20	23	Banner 280 g/m2	50	R$29,99	40	R$ 1.199,60	2023NE000149	4332	40	0	R$ -
04/2023	Aquisição Materiais Eventos	CAVN - DIRECAO DO COLEGIO	Felipe Roque Vicente	CAVN-DIRECAO DO COLEGIO	23074.064950/2023-74	23074.114853/2023-23	07.220.883/0001-94	HOT DIGITAL COMÉRCIO E SERVIÇO DE IMPRESSÃO LTDA.	PB	R$6.498,10	R$2.399,20	25	Faixa em lona	50	R$29,99	0	R$ -	N/A	N/A	0	0	R$ -
04/2023	Aquisição Materiais Eventos	CAVN - DIRECAO DO COLEGIO	Felipe Roque Vicente	CAVN-DIRECAO DO COLEGIO	23074.064950/2023-74	23074.114857/2023-12	09.368.621/0001-05	MULTIMÍDIA IMPRESSÃO E COMÉRCIO DE MATERIAL PUBLICITÁRIO LTDA.	PB	R$1.700,00	R$1.700,00	29	Wind Banner	10	R$170,00	10	R$ 1.700,00	2024NE000014	244	10	0	R$ -
04/2023	Aquisição Materiais Eventos	CAVN - DIRECAO DO COLEGIO	Felipe Roque Vicente	CAVN-DIRECAO DO COLEGIO	23074.064950/2023-74	23074.114861/2023-98	33.633.305/0001-90	SUNSHINE ARTES LTDA	RJ	R$9.890,00	R$9.890,00	26	Sacola	1000	R$9,89	1000	R$ 9.890,00	2024NE000013	291	1000	0	R$ -
04/2023	Aquisição Materiais Eventos	CAVN - DIRECAO DO COLEGIO	Felipe Roque Vicente	CAVN-DIRECAO DO COLEGIO	23074.064950/2023-74	23074.114865/2023-87	35.271.461/0001-83	JOELSON DA SILVA GONÇALVES	DF	R$14.790,00	R$14.790,00	24	Caneca em porcelana	1000	R$14,79	1000	R$ 14.790,00	2024NE000012	71	1000	0	R$ -
04/2023	Aquisição Materiais Eventos	CAVN - DIRECAO DO COLEGIO	Felipe Roque Vicente	CAVN-DIRECAO DO COLEGIO	23074.064950/2023-74	23074.114869/2023-76	40.787.494/0001-10	LUXPLACAS INDÚSTRIA, COMÉRCIO E SERVIÇOS LTDA.	PA	R$2.562,08	R$0,00	28	Placas de inauguração	4	R$640,52	4	R$ 2.562,08	2024NE000011	N/A	0	4	R$ 2.562,08
04/2023	Aquisição Materiais Eventos	CAVN - DIRECAO DO COLEGIO	Felipe Roque Vicente	CAVN-DIRECAO DO COLEGIO	23074.064950/2023-74	23074.114871/2023-22	50.911.223/0001-89	MEL DISTRIBUIDORA LTDA.	SE	R$3.100,00	R$0,00	20	Água mineral	2000	R$1,55	0	R$ -	N/A	N/A	0	0	R$ -
05/2023	Aquisição Veículo Novo	CCHSA - DIRECAO DE CENTRO	Edvaldo Mesquita Beltrão Filho	CAVN-DIRECAO DO COLEGIO	23074.076046/2023-18	23074.076046/2023-18	13.308.204/0001-36	PREMIER COMERCIO LTDA	GO	R$481.800,00	R$481.800,00	1	Nissan Frontier SE 2023	2	R$240.900,00	2	R$ 481.800,00	2023NE000148	52	2	0	R$ -
