Nome da Empresa	CNPJ	Num. Pregão ou IRP	Valor total ARP	Valor total adquirido	Valor total empenhado
A.M.S. RIOS FABRICACAO E COMERCIO DE BOLSAS LTDA.	05.411.554/0001-03	Pregão 01/2023	R$ 98.400,00	R$ 38.400,00	R$ 38.400,00
A.M. TELECOM E SUPRIMENTOS DE INFORMÁTICA LTDA	37.490.381/0001-44	IRP 01/2023	R$ 47.540,00	R$ 14.320,00	R$ 14.320,00
A ECONÔMICA COMÉRCIO LTDA	44.854.551/0001-98	Pregão 12/2023	R$ 57.400,00	R$ 57.400,00	R$ 57.400,00
ACARVE COMERCIO E LICITAÇÕES LTDA	35.764.167/0001-03	Pregão 12/2023	R$ 9.795,90	R$ 9.795,90	R$ 9.795,90
ADONEX COMERCIO DE PRODUTOS PARA LABORATORIO	08.238.866/0001-47	Pregão 09/2023	R$ 2.035,82	R$ 2.035,82	R$ 2.035,82
ADRIANO HALAMA	47.326.646/0001-27	IRP 01/2023	R$ 5.145,00	R$ 670,00	R$ 670,00
ADVANCED COMERCIO DE EQUIPAMENTOS LTDA	08.331.877/0001-77	IRP 15/2023	R$ 20.100,00	R$ 0,00	R$ 0,00
ALEXANDRE LAURENTINO DA SILVA LTDA.	11.500.957/0001-13	IRP 09/2023	R$ 13.160,00	R$ 13.160,00	R$ 13.160,00
ALL IN-SOLUCOES TECNOLOGICAS	20.721.030/0001-02	IRP 19/2023	R$ 8.420,00	R$ 0,00	R$ 0,00
AMBARLAB PRODUTOS LABORATORIAIS	80.243.769/0001-70	Pregão 12/2023	R$ 74.826,92	R$ 37.682,70	R$ 37.682,70
ANDRÉ AUGUSTO TRUTA FELIPE	18.474.659/0001-45	IRP 11/2023	R$ 145.637,00	R$ 9.357,50	R$ 24.428,00
ANDRÉ FELIPE	40.979.684/0001-30	IRP 00/2023	R$ 16.800,00	R$ 16.800,00	R$ 16.800,00
AR6 LICITAÇÕES LTDA	43.727.845/0001-96	IRP 01/2023	R$ 92.985,39	R$ 23.241,40	R$ 23.241,40
ARKHAGGELOS COMERCIO LTDA	50.002.164/0001-26	IRP 19/2023	R$ 3.560,80	R$ 0,00	R$ 0,00
AUTOMX SOLUCOES LTDA	19.031.878/0001-12	Pregão 12/2023	R$ 1.737,00	R$ 0,00	R$ 0,00
BACKUP MANUTENÇÃO E DISTRIBUIÇÃO DE PRODUTOS DE INFORMÁTICA LTDA	40.224.243/0001-28	IRP 01/2023	R$ 900,00	R$ 0,00	R$ 300,00
BBC COMERCIAL DISTRIBUIDORA E SERVICOS LTDA	17.177.467/0001-04	Pregão 01/2023	R$ 77.600,00	R$ 65.960,00	R$ 65.960,00
Betaquimica Equipamentos para Laboratório LTDA	48.706.431/0001-02	Pregão 12/2023	R$ 41.561,02	R$ 41.561,02	R$ 41.561,02
BILACORP Viagens e Turismo LTDA	27.829.511/0001-77	IRP 02/2023	R$ 166.443,99	R$ 181.715,84	R$ 292.998,45
BT COMÉRCIO INTELIGENTE LTDA	45.329.312/0001-81	IRP 16/2023	R$ 30.308,55	R$ 0,00	R$ 0,00
CALIBRY METROLOGIA COMERCIO E CALIBRACAO LTDA.	11.227.424/0001-00	Pregão 10/2023	R$ 15.003,39	R$ 15.003,39	R$ 15.003,39
CITASP DISTRIBUIDOR DE EQUIPAMENTOS SOCIEDADE UNIPESSOAL LTDA	48.277.417/0001-22	IRP 16/2023	R$ 13.637,85	R$ 0,00	R$ 0,00
CLAVES E NOTAS COMERCIO DE INSTRUMENTOS MUSICAIS LTDA	09.450.715/0001-10	IRP 07/2023	R$ 880,00	R$ 880,00	R$ 880,00
Comercial Vanguardeira Eireli	10.942.831/0001-36	Pregão 12/2023	R$ 482,28	R$ 482,28	R$ 482,28
DANTAS ELETROMOVEIS E EQUIPAMENTOS LTDA	49.140.067/0001-10	Pregão 12/2023	R$ 13.997,70	R$ 13.997,70	R$ 13.997,70
DF MÁQUINAS E FERRAMENTAS LTDA	21.793.208/0001-85	IRP 01/2023	R$ 3.237,60	R$ 809,40	R$ 809,40
DISTRIBUIDORA PHG LTDA.	49.347.070/0001-00	IRP 16/2023	R$ 15.810,00	R$ 0,00	R$ 0,00
DLB COMÉRCIO DE PRODUTOS DE INFORMÁTICA LTDA	40.708.647/0001-97	IRP 01/2023	R$ 31.909,53	R$ 14.138,70	R$ 14.138,70
EDELSON MILTON DE SOUZA	46.228.161/0001-38	IRP 08/2023	R$ 1.018,00	R$ 0,00	R$ 0,00
EDIR SUSSEL & CIA LTDA	54.719.745/0001-34	IRP 06/2023	R$ 138.488,13	R$ 0,00	R$ 0,00
EDWINEY SEBASTIAO CUPERTINO LTDA.	27.120.416/0001-08	Pregão 04/2023	R$ 285.215,00	R$ 286.439,00	R$ 107.036,00
ELITE TECH SUPRIMENTOS LTDA	52.390.100/0001-75	IRP 16/2023	R$ 30.066,42	R$ 0,00	R$ 0,00
ELETROQUIP COMÉRCIO E LICITAÇÕES LTDA	05.854.663/0001-97	IRP 08/2023	R$ 3.157,50	R$ 0,00	R$ 0,00
EMGESA - EMPRESA DE GERENCIAMENTO DE SOBRESSALENTES	32.005.178/0001-11	IRP 08/2023	R$ 11.800,00	R$ 0,00	R$ 0,00
ERIKA BARBERINO MARTINS BORGES	50.278.584/0001-30	IRP 06/2023	R$ 28.242,00	R$ 0,00	R$ 0,00
F C Nicolau Equipamentos para Laboratório Ltda – ME	13.158.576/0001-23	Pregão 12/2023	R$ 5.908,00	R$ 5.908,00	R$ 5.908,00
FASTLABOR COMERCIAL LTDA	21.707.794/0001-06	Pregão 09/2023	R$ 39.201,86	R$ 5.191,33	R$ 5.191,33
FLEXIBASE INDUSTRIA E COMERCIO DE MOVEIS, IMPORTACAO E EXPORTACAO LTDA	04.869.711/0001-58	IRP 15/2023	R$ 104.313,00	R$ 0,00	R$ 0,00
FONTES E ARAUJO LTDA	05.030.339/0001-54	Pregão 12/2023	R$ 47.500,00	R$ 24.250,00	R$ 24.250,00
FORLIMP COMERCIO E DISTRIBUICAO DE PRODUTOS DE PERFUMARIA E LIMPEZA LTDA.	19.750.069/0001-60	Pregão 02/2023	R$ 147.148,34	R$ 74.699,14	R$ 117.778,00
FORLIMP COMÉRCIO E DISTRIBUIÇÃO DE PRODUTOS DE PERFUMARIA E LIMPEZA LTDA.	19.750.069/0001-60	IRP 10/2023	R$ 14.300,00	R$ 0,00	R$ 0,00
FORMATO DIGITAL COMÉRCIO & COMUNICAÇÃO MULTIMÍDIA LTDA	31.070.939/0001-56	IRP 08/2023	R$ 10.955,00	R$ 0,00	R$ 0,00
FORMATO DIGITAL COMÉRCIO & COMUNICAÇÃO MULTIMÍDIA LTDA.	31.070.939/0001-56	IRP 14/2023	R$ 45.780,40	R$ 19.646,00	R$ 19.646,00
FOX SCIENCE COMERCIO & PRODUTOS LTDA.	34.075.789/0001-61	Pregão 10/2023	R$ 2.000,00	R$ 2.000,00	R$ 2.000,00
G2B COMERCIO E REPRESENTACOES LTDA	36.668.854/0001-98	IRP 07/2023	R$ 680,00	R$ 0,00	R$ 0,00
