Num. Pregão	Objeto	Setor Demandante	Fiscal	Setor do fiscal	Num. Proc. Principal	Num. Proc. Acessório	CNPJ	Nome da Empresa	Estado	Valor total ARP	Valor total adquirido	Num. Item	Descrição	Qtd. ARP	Valor Unitário	Qtd. Empenhada	Valor Empenhado	Num. Nota Emp.	Num. Nota Fiscal	Valor Nota Fiscal	Qtd. Adquirida	Qtd. Restante	Saldo dos Produtos
01/2023	Fardamento, EPI e outros	CAVN - DIRECAO DO COLEGIO	Manoel Vicente Serafim	CAVN - CAEST	23074.043511/2022-34	23074.033345/2023-03	05.411.554/0001-03	A.M.S. RIOS FABRICACAO E COMERCIO DE BOLSAS LTDA.	BA	R$98.400,00	R$38.400,00	15	Mochila	3280	R$24,00	1500	R$36.000,00	2023NE000048	3244	R$24,00	1500	0	R$ -
01/2023	Fardamento, EPI e outros	CAVN - DIRECAO DO COLEGIO	Manoel Vicente Serafim	CAVN - CAEST	23074.043511/2022-34	23074.033345/2023-03	05.411.554/0001-03	A.M.S. RIOS FABRICACAO E COMERCIO DE BOLSAS LTDA.	BA	R$98.400,00	R$38.400,00	15	Mochila	3280	R$24,00	100	R$2.400,00	2023NE000150	3244	R$24,00	100	0	R$ -
01/2023	Fardamento, EPI e outros	CAVN - DIRECAO DO COLEGIO	Manoel Vicente Serafim	CAVN - CAEST	23074.043511/2022-34	23074.033345/2023-03	05.411.554/0001-03	A.M.S. RIOS FABRICACAO E COMERCIO DE BOLSAS LTDA.	BA	R$98.400,00	R$38.400,00	19	Mochila	820	R$24,00	0	R$ -	N/A	N/A	R$ -	0	0	R$ -
01/2023	Fardamento, EPI e outros	CAVN - DIRECAO DO COLEGIO	Manoel Vicente Serafim	CAVN - CAEST	23074.043511/2022-34	23074.033350/2023-62	17.177.467/0001-04	BBC COMERCIAL DISTRIBUIDORA E SERVICOS LTDA	SE	R$77.600,00	R$65.960,00	10	Colchão Solteiro, 78x188	340	R$194,00	340	R$65.960,00	2023NE000040	1988	R$194,00	340	0	R$ -
01/2023	Fardamento, EPI e outros	CAVN - DIRECAO DO COLEGIO	Manoel Vicente Serafim	CAVN - CAEST	23074.043511/2022-34	23074.033350/2023-62	17.177.467/0001-04	BBC COMERCIAL DISTRIBUIDORA E SERVICOS LTDA	SE	R$77.600,00	R$65.960,00	18	Colchão	60	R$194,00	0	R$ -	N/A	N/A	R$ -	0	0	R$ -
01/2023	Fardamento, EPI e outros	CAVN - DIRECAO DO COLEGIO	Manoel Vicente Serafim	CAVN - CAEST	23074.043511/2022-34	23074.033353/2023-78	18.274.923/0001-05	MASTERSUL EQUIPAMENTOS DE SEGURANCA LTDA.	RS	R$24.000,00	R$24.000,00	9	Bota de segurança	600	R$40,00	600	R$24.000,00	2023NE000041	14.759	R$40,00	600	0	R$ -
01/2023	Fardamento, EPI e outros	CAVN - DIRECAO DO COLEGIO	Manoel Vicente Serafim	CAVN - CAEST	23074.043511/2022-34	23074.033353/2023-78	18.274.923/0001-05	MASTERSUL EQUIPAMENTOS DE SEGURANCA LTDA.	RS	R$24.000,00	R$24.000,00	-	-	0	R$ -	0	R$ -	N/A	N/A	R$ -	0	0	R$ -
01/2023	Fardamento, EPI e outros	CAVN - DIRECAO DO COLEGIO	Manoel Vicente Serafim	CAVN - CAEST	23074.043511/2022-34	23074.033354/2023-51	29.045.645/0001-22	MALTA INDUSTRIA E COMERCIO DE PRODUTOS LTDA.	MG	R$41.620,00	R$20.950,00	2	Chapéu masculino	1000	R$13,00	1000	R$13.000,00	2023NE000044	2.180	R$13,00	1000	0	R$ -
01/2023	Fardamento, EPI e outros	CAVN - DIRECAO DO COLEGIO	Manoel Vicente Serafim	CAVN - CAEST	23074.043511/2022-34	23074.033354/2023-51	29.045.645/0001-22	MALTA INDUSTRIA E COMERCIO DE PRODUTOS LTDA.	MG	R$41.620,00	R$20.950,00	12	Boné americano	3600	R$7,95	1000	R$7.950,00	2023NE000044	2.180	R$7,95	1000	0	R$ -
01/2023	Fardamento, EPI e outros	CAVN - DIRECAO DO COLEGIO	Manoel Vicente Serafim	CAVN - CAEST	23074.043511/2022-34	23074.033366/2023-18	30.306.389/0001-69	TC DISTRIBUIDORA LTDA.	RN	R$13.727,00	R$0,00	11	Garrafa Squeeze	3700	R$3,71	0	R$ -	N/A	N/A	R$ -	0	0	R$ -
