Data de chegada	Nome do setor	Tempo de estadia (dias)
26/03/2024	CCHSA - SETOR DE CONTRATOS	9.0
04/04/2024	CCHSA - LABORATÓRIO DE RANICULTURA E PRODUTOS DA AQUICULTURA	8.0
12/04/2024	CCHSA - SETOR DE CONTRATOS	3.0
15/04/2024	CCHSA - LABORATÓRIO DE AVICULTURA	4.0
19/04/2024	CCHSA - DIREÇÃO DE CENTRO	1.0
20/04/2024	CCHSA - SETOR DE CONTRATOS	46.0
05/06/2024	CCHSA - LABORATÓRIO DE RANICULTURA E PRODUTOS DA AQUICULTURA	15.0
20/06/2024	CCHSA - SETOR DE CONTRATOS	5.0
25/06/2024	CCHSA - COMISSÃO PERMANENTE DE LICITAÇÃO	8.0
03/07/2024	CCHSA - LABORATÓRIO DE AVICULTURA	22.0
25/07/2024	CCHSA - SETOR DE CONTRATOS	4.0
29/07/2024	CCHSA - LABORATÓRIO DE RANICULTURA E PRODUTOS DA AQUICULTURA	3.0
01/08/2024	CCHSA - SETOR DE CONTRATOS	0.0
01/08/2024	CCHSA - COMISSÃO PERMANENTE DE LICITAÇÃO	0.0
01/08/2024	CCHSA - SETOR DE CONTRATOS	0.0
01/08/2024	CCHSA - COMISSÃO PERMANENTE DE LICITAÇÃO	18.0
19/08/2024	CCHSA - LABORATÓRIO DE AVICULTURA	1.0
20/08/2024	CCHSA - COMISSÃO PERMANENTE DE LICITAÇÃO	1.0
21/08/2024	CCHSA - LABORATÓRIO DE AVICULTURA	1.0
22/08/2024	CCHSA - COMISSÃO PERMANENTE DE LICITAÇÃO	5.0
27/08/2024	CCHSA - DIREÇÃO DE CENTRO	2.0
29/08/2024	PROCURADORIA JURÍDICA	8.0
06/09/2024	CCHSA - DIREÇÃO DE CENTRO	0.0
06/09/2024	CCHSA - COMISSÃO PERMANENTE DE LICITAÇÃO	3.0
09/09/2024	CCHSA - LABORATÓRIO DE AVICULTURA	0.0
09/09/2024	CCHSA - COMISSÃO PERMANENTE DE LICITAÇÃO	22.0
01/10/2024	CCHSA - DIREÇÃO DE CENTRO	1.0
02/10/2024	CCHSA - COMISSÃO PERMANENTE DE LICITAÇÃO	2.0
04/10/2024	CCHSA - SETOR DE CONTRATOS	7.0
11/10/2024	CCHSA - ASSESSORIA ADMINISTRATIVA	3.0
14/10/2024	CCHSA - DIREÇÃO DE CENTRO	0.0
14/10/2024	CCHSA - SETOR DE CONTABILIDADE E FINANÇAS	1.0
15/10/2024	CCHSA - LABORATÓRIO DE RANICULTURA E PRODUTOS DA AQUICULTURA	0.0
15/10/2024	CCHSA - SETOR DE CONTRATOS	7.0
22/10/2024	CCHSA - SETOR DE CONTRATOS	7.0
29/10/2024	CCHSA - SETOR DE CONTRATOS	23.0
21/11/2024	CCHSA - SETOR DE CONTRATOS	4.0
25/11/2024	CCHSA - LABORATÓRIO DE RANICULTURA E PRODUTOS DA AQUICULTURA	0.0
25/11/2024	CCHSA - COMISSÃO PERMANENTE DE LICITAÇÃO	0.0
25/11/2024	CCHSA - LABORATÓRIO DE RANICULTURA E PRODUTOS DA AQUICULTURA	14.0
09/12/2024	CCHSA - SETOR DE CONTRATOS	1.0
10/12/2024	CCHSA - COMISSÃO PERMANENTE DE LICITAÇÃO	8.0
18/12/2024	CCHSA - SETOR DE CONTRATOS	1.0
19/12/2024	CCHSA - COMISSÃO PERMANENTE DE LICITAÇÃO	7.0
26/12/2024	PROCURADORIA JURÍDICA	0.0
26/12/2024	CCHSA - DIREÇÃO DE CENTRO	4.0
30/12/2024	PROCURADORIA JURÍDICA	0.0
30/12/2024	CCHSA - DIREÇÃO DE CENTRO	0.0
30/12/2024	PROCURADORIA JURÍDICA	0.0
30/12/2024	CCHSA - DIREÇÃO DE CENTRO	9.0
08/01/2025	CCHSA - DIREÇÃO DE CENTRO	2.0
10/01/2025	CCHSA - COMISSÃO PERMANENTE DE LICITAÇÃO	40.0
19/02/2025	CCHSA - DIREÇÃO DE CENTRO	2.0
21/02/2025	CCHSA - COMISSÃO PERMANENTE DE LICITAÇÃO	7.0
28/02/2025	CCHSA - SETOR DE CONTRATOS	18.0
18/03/2025	CCHSA - ASSESSORIA ADMINISTRATIVA	8.0
26/03/2025	CCHSA - ASSESSORIA ADMINISTRATIVA	0.0
26/03/2025	CCHSA - DIREÇÃO DE CENTRO	1.0
27/03/2025	CCHSA - SETOR DE CONTABILIDADE E FINANÇAS	13.0
09/04/2025	CCHSA - SETOR DE CONTABILIDADE E FINANÇAS	0.0
09/04/2025	CCHSA - DIREÇÃO DE CENTRO	0.0
09/04/2025	CCHSA - SETOR DE CONTRATOS	0.0
09/04/2025	CCHSA - DIREÇÃO DE CENTRO	0.0
09/04/2025	CCHSA - SETOR DE CONTABILIDADE E FINANÇAS	0.0
09/04/2025	CCHSA - DIREÇÃO DE CENTRO	1.0
10/04/2025	CCHSA - ASSESSORIA ADMINISTRATIVA	0.0
10/04/2025	CCHSA - DIREÇÃO DE CENTRO	1.0
11/04/2025	CCHSA - SETOR DE CONTABILIDADE E FINANÇAS	12.0
23/04/2025	CCHSA - SETOR DE CONTRATOS	2.0
25/04/2025	CCHSA - DIREÇÃO DE CENTRO	10.0
05/05/2025	CCHSA - SETOR DE CONTABILIDADE E FINANÇAS	0.0
05/05/2025	CCHSA - ASSESSORIA ADMINISTRATIVA	0.0
05/05/2025	CCHSA - DIREÇÃO DE CENTRO	10.0
15/05/2025	CCHSA - SETOR DE CONTRATOS	
