Num. IRP	Objeto	Setor Demandante	Fiscal	Setor do fiscal	Num. Proc. Principal	Num. Proc. Acessório	CNPJ	Nome da Empresa	Estado	Valor total ARP	Valor total adquirido	Num. Item	Descrição	Qtd. ARP	Valor Unitário	Qtd. Empenhada	Valor Empenhado	Num. Nota Emp.	Num. Nota Fiscal	Valor Nota Fiscal	Qtd. Adquirida	Qtd. Restante	Saldo dos Produtos
01/2024	Aquisição de GÊNEROS ALIMENTÍCIOS - HORTI FRUTI E OVOS	CAVN - DIRECAO DO COLEGIO	Felipe Roque Vicente	CAVN - DIRECAO DO COLEGIO	23074.022090/2025-78	23074.066789/2024-82	35.520.026/0001-45	ASL COMÉRCIO E SERVIÇOS LTDA.	PB	R$ 24.387,00	R$ 8.278,28	72	Banana in natura	500	R$ 5,08	500	R$ 2.540,00	2025NE000013	000.379	R$ 5,08	102	259	R$ 1.315,72
01/2024	Aquisição de GÊNEROS ALIMENTÍCIOS - HORTI FRUTI E OVOS	CAVN - DIRECAO DO COLEGIO	Felipe Roque Vicente	CAVN - DIRECAO DO COLEGIO	23074.022090/2025-78	23074.066789/2024-82	35.520.026/0001-45	ASL COMÉRCIO E SERVIÇOS LTDA.	PB	R$ 24.387,00	R$ 8.278,28	72	Banana in natura	500	R$ 5,08	500	R$ 2.540,00	2025NE000013	000.404	R$ 5,08	139	259	R$ 1.315,72
01/2024	Aquisição de GÊNEROS ALIMENTÍCIOS - HORTI FRUTI E OVOS	CAVN - DIRECAO DO COLEGIO	Felipe Roque Vicente	CAVN - DIRECAO DO COLEGIO	23074.022090/2025-78	23074.066789/2024-82	35.520.026/0001-45	ASL COMÉRCIO E SERVIÇOS LTDA.	PB	R$ 24.387,00	R$ 8.278,28	75	Uva verde ou Itália	500	R$ 20,00	500	R$ 10.000,00	2025NE000013	000.379	R$ 20,00	60	390	R$ 7.800,00
01/2024	Aquisição de GÊNEROS ALIMENTÍCIOS - HORTI FRUTI E OVOS	CAVN - DIRECAO DO COLEGIO	Felipe Roque Vicente	CAVN - DIRECAO DO COLEGIO	23074.022090/2025-78	23074.066789/2024-82	35.520.026/0001-45	ASL COMÉRCIO E SERVIÇOS LTDA.	PB	R$ 24.387,00	R$ 8.278,28	75	Uva verde ou Itália	500	R$ 20,00	500	R$ 10.000,00	2025NE000013	000.404	R$ 20,00	50	390	R$ 7.800,00
01/2024	Aquisição de GÊNEROS ALIMENTÍCIOS - HORTI FRUTI E OVOS	CAVN - DIRECAO DO COLEGIO	Felipe Roque Vicente	CAVN - DIRECAO DO COLEGIO	23074.022090/2025-78	23074.066789/2024-82	35.520.026/0001-45	ASL COMÉRCIO E SERVIÇOS LTDA.	PB	R$ 24.387,00	R$ 8.278,28	77	Melancia in natura	300	R$ 4,49	300	R$ 1.347,00	2025NE000013	000.379	R$ 4,49	185	0	R$ -
01/2024	Aquisição de GÊNEROS ALIMENTÍCIOS - HORTI FRUTI E OVOS	CAVN - DIRECAO DO COLEGIO	Felipe Roque Vicente	CAVN - DIRECAO DO COLEGIO	23074.022090/2025-78	23074.066789/2024-82	35.520.026/0001-45	ASL COMÉRCIO E SERVIÇOS LTDA.	PB	R$ 24.387,00	R$ 8.278,28	77	Melancia in natura	300	R$ 4,49	300	R$ 1.347,00	2025NE000013	000.404	R$ 4,49	115	0	R$ -
01/2024	Aquisição de GÊNEROS ALIMENTÍCIOS - HORTI FRUTI E OVOS	CAVN - DIRECAO DO COLEGIO	Felipe Roque Vicente	CAVN - DIRECAO DO COLEGIO	23074.022090/2025-78	23074.066789/2024-82	35.520.026/0001-45	ASL COMÉRCIO E SERVIÇOS LTDA.	PB	R$ 24.387,00	R$ 8.278,28	78	Ovo de galinha, 30 und.	500	R$ 21,00	500	R$ 10.500,00	2025NE000013	000.379	R$ 21,00	67	333	R$ 6.993,00
01/2024	Aquisição de GÊNEROS ALIMENTÍCIOS - HORTI FRUTI E OVOS	CAVN - DIRECAO DO COLEGIO	Felipe Roque Vicente	CAVN - DIRECAO DO COLEGIO	23074.022090/2025-78	23074.066789/2024-82	35.520.026/0001-45	ASL COMÉRCIO E SERVIÇOS LTDA.	PB	R$ 24.387,00	R$ 8.278,28	78	Ovo de galinha, 30 und.	500	R$ 21,00	500	R$ 10.500,00	2025NE000013	000.404	R$ 21,00	100	333	R$ 6.993,00
04/2024	Contratação de serviços para eventos institucionais.	CAVN - DIRECAO DO COLEGIO	Edvaldo Mesquita Beltrão Filho	CAVN - DIRECAO DO COLEGIO	23074.087384/2024-21	23074.035178/2025-73	41.162.042/0001-06	A.P.A. PROMOCOES E EVENTOS LTDA.	PB	R$ 36.316,00	R$ 0,00	46	Som, médio porte	18	R$ 595,00	0	R$ -	N/A	N/A	R$ 595,00	0	0	R$ -
04/2024	Contratação de serviços para eventos institucionais.	CAVN - DIRECAO DO COLEGIO	Edvaldo Mesquita Beltrão Filho	CAVN - DIRECAO DO COLEGIO	23074.087384/2024-21	23074.035178/2025-73	41.162.042/0001-06	A.P.A. PROMOCOES E EVENTOS LTDA.	PB	R$ 36.316,00	R$ 0,00	47	Iluminação, médio porte	14	R$ 1.829,00	0	R$ -	N/A	N/A	R$ 1.829,00	0	0	R$ -
