Num. Pregão	Objeto	Setor Demandante	Fiscal	Setor do fiscal	Num. Proc. Principal	Num. Proc. Acessório	CNPJ	Nome da Empresa	Estado	Valor total ARP	Valor total adquirido	OFB	Data OFB	Num. NE	Valor NE	Data NE	Num. Nota Fiscal	Data NF	Valor NF	Ordem Bancária	Saldo da NE
01/2024	Outsourcing de impressão corporativa.	CCHSA - SECON	DANIEL MENDES CAVALCANTE	LABINFO	23074.010033/2024-88	23074.010033/2024-88	02.914.690/0001-10	COPY LINE COMERCIO SERVIÇOS LTDA.	PB	R$ 166.056,00	R$ 23.881,30	N/A	N/A	2023NE000091	R$ 33.211,20	08/ago/24	042111	13/set/24	R$ 2.269,16	2024OB000599	R$ 30.942,04
01/2024	Outsourcing de impressão corporativa.	CCHSA - SECON	DANIEL MENDES CAVALCANTE	LABINFO	23074.010033/2024-88	23074.010033/2024-88	02.914.690/0001-10	COPY LINE COMERCIO SERVIÇOS LTDA.	PB	R$ 166.056,00	R$ 23.881,30	N/A	N/A	2023NE000091	R$ 33.211,20	08/ago/24	042453	14/out/24	R$ 2.383,88	2024OB000659	R$ 28.558,16
01/2024	Outsourcing de impressão corporativa.	CCHSA - SECON	DANIEL MENDES CAVALCANTE	LABINFO	23074.010033/2024-88	23074.010033/2024-88	02.914.690/0001-10	COPY LINE COMERCIO SERVIÇOS LTDA.	PB	R$ 166.056,00	R$ 23.881,30	N/A	N/A	2023NE000091	R$ 33.211,20	08/ago/24	042852	18/nov/24	R$ 2.373,38	2024OB000776	R$ 26.184,78
01/2024	Outsourcing de impressão corporativa.	CCHSA - SECON	DANIEL MENDES CAVALCANTE	LABINFO	23074.010033/2024-88	23074.010033/2024-88	02.914.690/0001-10	COPY LINE COMERCIO SERVIÇOS LTDA.	PB	R$ 166.056,00	R$ 23.881,30	N/A	N/A	2023NE000091	R$ 33.211,20	08/ago/24	043309	12/dez/24	R$ 2.335,26	2024OB000844	R$ 23.849,52
01/2024	Outsourcing de impressão corporativa.	CCHSA - SECON	DANIEL MENDES CAVALCANTE	LABINFO	23074.010033/2024-88	23074.010033/2024-88	02.914.690/0001-10	COPY LINE COMERCIO SERVIÇOS LTDA.	PB	R$ 166.056,00	R$ 23.881,30	N/A	N/A	2023NE000091	R$ 33.211,20	08/ago/24	043579	14/jan/25	R$ 2.267,18	2025OB000014	R$ 21.582,34
01/2024	Outsourcing de impressão corporativa.	CCHSA - SECON	DANIEL MENDES CAVALCANTE	LABINFO	23074.010033/2024-88	23074.010033/2024-88	02.914.690/0001-10	COPY LINE COMERCIO SERVIÇOS LTDA.	PB	R$ 166.056,00	R$ 23.881,30	N/A	N/A	2023NE000091	R$ 33.211,20	08/ago/24	043920	14/fev/25	R$ 2.303,28	2025OB000107	R$ 19.279,06
01/2024	Outsourcing de impressão corporativa.	CCHSA - SECON	DANIEL MENDES CAVALCANTE	LABINFO	23074.010033/2024-88	23074.010033/2024-88	02.914.690/0001-10	COPY LINE COMERCIO SERVIÇOS LTDA.	PB	R$ 166.056,00	R$ 23.881,30	N/A	N/A	2023NE000091	R$ 33.211,20	08/ago/24	044272	17/mar/25	R$ 2.577,20	2025OB000175	R$ 16.701,86
01/2024	Outsourcing de impressão corporativa.	CCHSA - SECON	DANIEL MENDES CAVALCANTE	LABINFO	23074.010033/2024-88	23074.010033/2024-88	02.914.690/0001-10	COPY LINE COMERCIO SERVIÇOS LTDA.	PB	R$ 166.056,00	R$ 23.881,30	N/A	N/A	2023NE000091	R$ 33.211,20	08/ago/24	044667	11/abr/25	R$ 2.389,00	2025OB000281	R$ 14.312,86
01/2024	Outsourcing de impressão corporativa.	CCHSA - SECON	DANIEL MENDES CAVALCANTE	LABINFO	23074.010033/2024-88	23074.010033/2024-88	02.914.690/0001-10	COPY LINE COMERCIO SERVIÇOS LTDA.	PB	R$ 166.056,00	R$ 23.881,30	N/A	N/A	2023NE000091	R$ 33.211,20	08/ago/24	045061	13/mai/25	R$ 2.526,06	2025OB000378	R$ 11.786,80
01/2024	Outsourcing de impressão corporativa.	CCHSA - SECON	DANIEL MENDES CAVALCANTE	LABINFO	23074.010033/2024-88	23074.010033/2024-88	02.914.690/0001-10	COPY LINE COMERCIO SERVIÇOS LTDA.	PB	R$ 166.056,00	R$ 23.881,30	N/A	N/A	2023NE000091	R$ 33.211,20	08/ago/24	045503	16/jun/25	R$ 2.456,90		R$ 9.329,90
