Num. Pregão	Objeto	Setor Demandante	Fiscal	Setor do fiscal	Num. Proc. Principal	Num. Proc. Acessório	CNPJ	Nome da Empresa	Estado	Valor total ARP	Valor total adquirido	Num. Item	Descrição	Qtd. ARP	Valor Unitário	Qtd. Empenhada	Valor Empenhado	Num. Nota Emp.	Num. Nota Fiscal	Valor Nota Fiscal	Qtd. Adquirida	Qtd. Restante	Saldo dos Produtos
01/2024	Serviço de outsourcing de impressão.	CCHSA - SECON	DANIEL MENDES CAVALCANTE	CCHSA - LAB. INFORMATICA	23074.010033/2024-88	23074.010033/2024-88	02.914.690/0001-10	COPY LINE COMERCIO SERVIÇOS LTDA.	PB	R$166.056,00	R$23.881,30	1	Impressão monocromática de páginas A4.	1029600	R$0,07	205.920	R$14.414,40	2023NE000091	42111	R$0,07	17160	34.320	R$2.402,40
01/2024	Serviço de outsourcing de impressão.	CCHSA - SECON	DANIEL MENDES CAVALCANTE	CCHSA - LAB. INFORMATICA	23074.010033/2024-88	23074.010033/2024-88	02.914.690/0001-10	COPY LINE COMERCIO SERVIÇOS LTDA.	PB	R$166.056,00	R$23.881,30	1	Impressão monocromática de páginas A4.	1029600	R$0,07	205.920	R$14.414,40	2023NE000091	42453	R$0,07	17160	34.320	R$2.402,40
01/2024	Serviço de outsourcing de impressão.	CCHSA - SECON	DANIEL MENDES CAVALCANTE	CCHSA - LAB. INFORMATICA	23074.010033/2024-88	23074.010033/2024-88	02.914.690/0001-10	COPY LINE COMERCIO SERVIÇOS LTDA.	PB	R$166.056,00	R$23.881,30	1	Impressão monocromática de páginas A4.	1029600	R$0,07	205.920	R$14.414,40	2023NE000091	42852	R$0,07	17160	34.320	R$2.402,40
01/2024	Serviço de outsourcing de impressão.	CCHSA - SECON	DANIEL MENDES CAVALCANTE	CCHSA - LAB. INFORMATICA	23074.010033/2024-88	23074.010033/2024-88	02.914.690/0001-10	COPY LINE COMERCIO SERVIÇOS LTDA.	PB	R$166.056,00	R$23.881,30	1	Impressão monocromática de páginas A4.	1029600	R$0,07	205.920	R$14.414,40	2023NE000091	43309	R$0,07	17160	34.320	R$2.402,40
01/2024	Serviço de outsourcing de impressão.	CCHSA - SECON	DANIEL MENDES CAVALCANTE	CCHSA - LAB. INFORMATICA	23074.010033/2024-88	23074.010033/2024-88	02.914.690/0001-10	COPY LINE COMERCIO SERVIÇOS LTDA.	PB	R$166.056,00	R$23.881,30	1	Impressão monocromática de páginas A4.	1029600	R$0,07	205.920	R$14.414,40	2023NE000091	43579	R$0,07	17160	34.320	R$2.402,40
01/2024	Serviço de outsourcing de impressão.	CCHSA - SECON	DANIEL MENDES CAVALCANTE	CCHSA - LAB. INFORMATICA	23074.010033/2024-88	23074.010033/2024-88	02.914.690/0001-10	COPY LINE COMERCIO SERVIÇOS LTDA.	PB	R$166.056,00	R$23.881,30	1	Impressão monocromática de páginas A4.	1029600	R$0,07	205.920	R$14.414,40	2023NE000091	43920	R$0,07	17160	34.320	R$2.402,40
01/2024	Serviço de outsourcing de impressão.	CCHSA - SECON	DANIEL MENDES CAVALCANTE	CCHSA - LAB. INFORMATICA	23074.010033/2024-88	23074.010033/2024-88	02.914.690/0001-10	COPY LINE COMERCIO SERVIÇOS LTDA.	PB	R$166.056,00	R$23.881,30	1	Impressão monocromática de páginas A4.	1029600	R$0,07	205.920	R$14.414,40	2023NE000091	44272	R$0,07	17160	34.320	R$2.402,40
01/2024	Serviço de outsourcing de impressão.	CCHSA - SECON	DANIEL MENDES CAVALCANTE	CCHSA - LAB. INFORMATICA	23074.010033/2024-88	23074.010033/2024-88	02.914.690/0001-10	COPY LINE COMERCIO SERVIÇOS LTDA.	PB	R$166.056,00	R$23.881,30	1	Impressão monocromática de páginas A4.	1029600	R$0,07	205.920	R$14.414,40	2023NE000091	44667	R$0,07	17160	34.320	R$2.402,40
01/2024	Serviço de outsourcing de impressão.	CCHSA - SECON	DANIEL MENDES CAVALCANTE	CCHSA - LAB. INFORMATICA	23074.010033/2024-88	23074.010033/2024-88	02.914.690/0001-10	COPY LINE COMERCIO SERVIÇOS LTDA.	PB	R$166.056,00	R$23.881,30	1	Impressão monocromática de páginas A4.	1029600	R$0,07	205.920	R$14.414,40	2023NE000091	45061	R$0,07	17160	34.320	R$2.402,40
01/2024	Serviço de outsourcing de impressão.	CCHSA - SECON	DANIEL MENDES CAVALCANTE	CCHSA - LAB. INFORMATICA	23074.010033/2024-88	23074.010033/2024-88	02.914.690/0001-10	COPY LINE COMERCIO SERVIÇOS LTDA.	PB	R$166.056,00	R$23.881,30	1	Impressão monocromática de páginas A4.	1029600	R$0,07	205.920	R$14.414,40	2023NE000091	45503	R$0,07	17160	34.320	R$2.402,40
01/2024	Serviço de outsourcing de impressão.	CCHSA - SECON	DANIEL MENDES CAVALCANTE	CCHSA - LAB. INFORMATICA	23074.010033/2024-88	23074.010033/2024-88	02.914.690/0001-10	COPY LINE COMERCIO SERVIÇOS LTDA.	PB	R$166.056,00	R$23.881,30	2	Impressão monocromática de páginas A4.	686400	R$0,02	137.280	R$2.745,60	2023NE000091	42111	R$0,02	598	81.800	R$1.636,00
01/2024	Serviço de outsourcing de impressão.	CCHSA - SECON	DANIEL MENDES CAVALCANTE	CCHSA - LAB. INFORMATICA	23074.010033/2024-88	23074.010033/2024-88	02.914.690/0001-10	COPY LINE COMERCIO SERVIÇOS LTDA.	PB	R$166.056,00	R$23.881,30	2	Impressão monocromática de páginas A4.	686400	R$0,02	137.280	R$2.745,60	2023NE000091	42453	R$0,02	6334	81.800	R$1.636,00
01/2024	Serviço de outsourcing de impressão.	CCHSA - SECON	DANIEL MENDES CAVALCANTE	CCHSA - LAB. INFORMATICA	23074.010033/2024-88	23074.010033/2024-88	02.914.690/0001-10	COPY LINE COMERCIO SERVIÇOS LTDA.	PB	R$166.056,00	R$23.881,30	2	Impressão monocromática de páginas A4.	686400	R$0,02	137.280	R$2.745,60	2023NE000091	42852	R$0,02	5809	81.800	R$1.636,00
01/2024	Serviço de outsourcing de impressão.	CCHSA - SECON	DANIEL MENDES CAVALCANTE	CCHSA - LAB. INFORMATICA	23074.010033/2024-88	23074.010033/2024-88	02.914.690/0001-10	COPY LINE COMERCIO SERVIÇOS LTDA.	PB	R$166.056,00	R$23.881,30	2	Impressão monocromática de páginas A4.	686400	R$0,02	137.280	R$2.745,60	2023NE000091	43309	R$0,02	3903	81.800	R$1.636,00
01/2024	Serviço de outsourcing de impressão.	CCHSA - SECON	DANIEL MENDES CAVALCANTE	CCHSA - LAB. INFORMATICA	23074.010033/2024-88	23074.010033/2024-88	02.914.690/0001-10	COPY LINE COMERCIO SERVIÇOS LTDA.	PB	R$166.056,00	R$23.881,30	2	Impressão monocromática de páginas A4.	686400	R$0,02	137.280	R$2.745,60	2023NE000091	43579	R$0,02	499	81.800	R$1.636,00
01/2024	Serviço de outsourcing de impressão.	CCHSA - SECON	DANIEL MENDES CAVALCANTE	CCHSA - LAB. INFORMATICA	23074.010033/2024-88	23074.010033/2024-88	02.914.690/0001-10	COPY LINE COMERCIO SERVIÇOS LTDA.	PB	R$166.056,00	R$23.881,30	2	Impressão monocromática de páginas A4.	686400	R$0,02	137.280	R$2.745,60	2023NE000091	43920	R$0,02	2304	81.800	R$1.636,00
